Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528310747.18	1528310756.69	9.48769211769	0
Email	1528310786.72	1528310811.98	25.2461500168	0
Browser	1528310842.0	1528310849.02	7.00699400902	0
Photo Editing	1528310879.05	1528310907.39	28.3204491138	0
Texting	1528310937.42	1528310947.06	9.63788294792	1
Email	1528310977.09	1528311003.46	26.3537330627	1
Browser	1528311033.46	1528311040.71	7.24037885666	1
Photo Editing	1528311070.72	1528311090.31	19.5717611313	1
Texting	1528311120.33	1528311130.2	9.85680699348	2
Email	1528311160.23	1528311185.92	25.6785531044	2
Browser	1528311215.94	1528311222.88	6.92302703857	2
Photo Editing	1528311252.88	1528311275.15	22.267261982	2
Texting	1528311305.18	1528311316.49	11.2953870296	3
Email	1528311346.51	1528311373.28	26.7556810379	3
Browser	1528311403.3	1528311410.92	7.60968089104	3
Photo Editing	1528311440.95	1528311460.77	19.8099038601	3
Texting	1528311490.8	1528311501.05	10.2363500595	4
Email	1528311531.08	1528311558.04	26.951102972	4
Browser	1528311588.07	1528311595.97	7.88507294655	4
Photo Editing	1528311626.0	1528311645.97	19.9589622021	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
