time	watts	max_big_temp	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster
1528319665.51	0.0	47.0	45.0	44.0	47.0	42.0	40.0	1400000000.0	1600000000.0	
1528319665.56	3.386	46.0	42.0	44.0	46.0	43.0	40.0	1400000000.0	1800000000.0	
1528319665.61	3.386	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319665.66	3.386	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319665.71	3.386	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319665.76	3.386	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319665.81	3.294	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319665.86	3.294	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319665.91	3.294	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319665.96	3.294	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.01	3.294	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319666.06	3.241	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319666.11	3.241	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319666.16	3.241	46.0	42.0	43.0	46.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.21	3.241	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	200000000.0	
1528319666.26	3.241	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.31	3.241	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319666.36	3.271	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1400000000.0	
1528319666.41	3.271	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1400000000.0	
1528319666.46	3.271	45.0	40.0	42.0	45.0	42.0	40.0	1400000000.0	200000000.0	
1528319666.51	3.271	45.0	40.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.56	3.271	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319666.61	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.66	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.71	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1200000000.0	
1528319666.76	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319666.81	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319666.86	3.053	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319666.91	3.179	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319666.96	3.179	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319667.01	3.179	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.06	3.179	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319667.11	3.179	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319667.16	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.21	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1200000000.0	
1528319667.26	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.31	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319667.36	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319667.41	3.176	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.46	3.157	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1600000000.0	
1528319667.51	3.157	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319667.56	3.157	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.61	3.157	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
1528319667.66	3.157	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	800000000.0	
1528319667.71	3.252	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1800000000.0	
1528319667.76	3.252	45.0	41.0	43.0	45.0	42.0	40.0	1400000000.0	1000000000.0	
1528319667.81	3.252	45.0	40.0	42.0	45.0	42.0	40.0	1400000000.0	200000000.0	
1528319667.86	3.252	45.0	41.0	42.0	45.0	42.0	40.0	1400000000.0	2000000000.0	
