time	watts	max_big_temp	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster
1528319475.86	0.0	45.0	44.0	41.0	45.0	42.0	39.0	300000000.0	2000000000.0	
1528319475.91	2.405	44.0	41.0	40.0	44.0	42.0	39.0	300000000.0	300000000.0	
1528319475.96	3.359	43.0	40.0	40.0	43.0	42.0	39.0	300000000.0	500000000.0	
1528319476.01	3.359	43.0	40.0	40.0	43.0	42.0	39.0	300000000.0	600000000.0	
1528319476.06	3.359	43.0	40.0	39.0	43.0	41.0	39.0	200000000.0	300000000.0	
1528319476.11	3.359	43.0	40.0	39.0	43.0	41.0	39.0	200000000.0	300000000.0	
1528319476.16	3.359	42.0	40.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.21	3.359	42.0	40.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.26	2.443	42.0	40.0	39.0	42.0	41.0	39.0	300000000.0	1400000000.0	
1528319476.31	2.443	43.0	40.0	39.0	43.0	41.0	39.0	300000000.0	400000000.0	
1528319476.36	2.443	43.0	40.0	39.0	43.0	41.0	39.0	300000000.0	200000000.0	
1528319476.41	2.443	42.0	40.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.46	2.443	42.0	40.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.51	2.443	42.0	40.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.57	2.645	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.62	2.645	42.0	40.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.67	2.645	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.72	2.645	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	200000000.0	
1528319476.77	2.645	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.82	2.431	42.0	40.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.87	2.431	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319476.92	2.431	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319476.97	2.431	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	1200000000.0	
1528319477.02	2.431	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319477.07	2.431	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319477.12	2.489	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.17	2.489	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.22	2.489	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.27	2.489	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.32	2.489	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319477.37	2.431	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	200000000.0	
1528319477.42	2.431	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.47	2.431	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.52	2.431	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	200000000.0	
1528319477.57	2.431	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.62	2.431	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.67	2.428	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.72	2.428	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.77	2.428	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	800000000.0	
1528319477.82	2.428	43.0	41.0	39.0	43.0	41.0	39.0	300000000.0	700000000.0	
1528319477.87	2.428	42.0	40.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319477.92	2.641	42.0	40.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319477.97	2.641	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	300000000.0	
1528319478.02	2.641	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	400000000.0	
1528319478.07	2.641	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319478.12	2.641	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319478.17	2.641	42.0	39.0	38.0	42.0	41.0	39.0	300000000.0	500000000.0	
1528319478.22	2.443	42.0	39.0	39.0	42.0	41.0	39.0	300000000.0	200000000.0	
1528319478.27	2.443	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319478.32	2.443	42.0	39.0	39.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319478.37	2.443	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
1528319478.42	2.443	42.0	39.0	38.0	42.0	41.0	39.0	300000000.0	200000000.0	
1528319478.47	2.424	42.0	39.0	38.0	42.0	41.0	39.0	200000000.0	300000000.0	
