time	watts	max_big_temp	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster
1528266229.34	0.0	47.0	47.0	44.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.39	0.0	45.0	42.0	44.0	45.0	41.0	39.0	1400000000.0	2000000000.0	
1528266229.44	3.321	45.0	42.0	43.0	45.0	41.0	39.0	1400000000.0	2000000000.0	
1528266229.49	3.321	45.0	41.0	43.0	45.0	41.0	39.0	1400000000.0	2000000000.0	
1528266229.54	3.321	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.59	3.321	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.64	3.664	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.69	3.664	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.74	3.664	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.79	3.664	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.84	3.664	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266229.89	3.111	45.0	41.0	42.0	45.0	40.0	38.0	1400000000.0	2000000000.0	
1528266229.94	3.111	45.0	41.0	42.0	45.0	40.0	38.0	1400000000.0	2000000000.0	
1528266229.99	3.111	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266230.04	3.111	45.0	41.0	42.0	45.0	40.0	38.0	1400000000.0	2000000000.0	
1528266230.09	3.111	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266230.14	3.111	45.0	41.0	42.0	45.0	40.0	39.0	1400000000.0	2000000000.0	
1528266230.19	3.229	46.0	43.0	42.0	46.0	41.0	39.0	1400000000.0	2000000000.0	
1528266230.24	3.229	45.0	41.0	43.0	45.0	41.0	39.0	1400000000.0	2000000000.0	
1528266230.29	3.229	45.0	41.0	42.0	45.0	41.0	39.0	1400000000.0	2000000000.0	
