Added workload: Texting
Added workload: Email
Added workload: Browser
Added workload: Photo Editing
[Texting, Email, Browser, Photo Editing]
name	startts	endts	runtime(s)	iteration
Texting	1528316998.49	1528317011.8	13.2763979435	0
Email	1528317041.82	1528317073.61	31.7750468254	0
Browser	1528317103.64	1528317114.45	10.7901039124	0
Photo Editing	1528317144.48	1528317180.19	35.7021090984	0
Texting	1528317210.22	1528317224.15	13.8983030319	1
Email	1528317254.18	1528317284.73	30.525801897	1
Browser	1528317314.75	1528317325.72	10.9169290066	1
Photo Editing	1528317355.75	1528317387.78	32.005368948	1
Texting	1528317417.81	1528317435.75	17.8954520226	2
Email	1528317465.78	1528317495.89	30.0778579712	2
Browser	1528317525.91	1528317536.39	10.4581830502	2
Photo Editing	1528317566.42	1528317591.52	25.0551819801	2
Texting	1528317621.55	1528317635.05	13.4777560234	3
Email	1528317665.08	1528317695.44	30.3100731373	3
Browser	1528317725.47	1528317735.89	10.3848538399	3
Photo Editing	1528317765.92	1528317787.74	21.7823050022	3
Texting	1528317817.74	1528317830.94	13.1546800137	4
Email	1528317860.97	1528317891.55	30.5280988216	4
Browser	1528317921.57	1528317932.21	10.6181790829	4
Photo Editing	1528317962.24	1528317985.98	23.7212629318	4
****************************************
Workload geometric average runtime summary over 5 iterations
****************************************
Name	RuntimeAvg	GeomAvg
